unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1676419200,2023-02-15 00:00:00,BTC/USDT,22190,22190,22169,22169,0.11640797,2580.64828693
1676415600,2023-02-14 23:00:00,BTC/USDT,22234,22234,22200,22204,0.34893468,7747.7456347199995
1676412000,2023-02-14 22:00:00,BTC/USDT,22207,22207,22207,22207,0.00000000,0.0
1676408400,2023-02-14 21:00:00,BTC/USDT,22254,22282,22152,22207,0.89335379,19838.70761453
1676404800,2023-02-14 20:00:00,BTC/USDT,22206,22253,22186,22253,1.11790497,24876.739297410004
1676401200,2023-02-14 19:00:00,BTC/USDT,22122,22226,22076,22226,0.58942984,13100.66762384
1676397600,2023-02-14 18:00:00,BTC/USDT,22069,22165,22069,22113,0.18490863,4088.88453519
1676394000,2023-02-14 17:00:00,BTC/USDT,22048,22057,22016,22035,0.17174681,3784.44095835
1676390400,2023-02-14 16:00:00,BTC/USDT,22071,22121,21946,21980,0.18263807,4014.3847786
1676386800,2023-02-14 15:00:00,BTC/USDT,22250,22307,21879,22021,1.33767324,29456.90241804
1676383200,2023-02-14 14:00:00,BTC/USDT,21643,22238,21642,22238,5.97752584,132928.21962992
1676379600,2023-02-14 13:00:00,BTC/USDT,21867,21885,21562,21830,6.72448973,146795.6108059
1676376000,2023-02-14 12:00:00,BTC/USDT,21856,21872,21856,21872,0.22080000,4829.3376
1676372400,2023-02-14 11:00:00,BTC/USDT,21818,21820,21804,21804,0.28712642,6260.50446168
1676368800,2023-02-14 10:00:00,BTC/USDT,21807,21838,21786,21819,0.08943376,1951.35520944
1676365200,2023-02-14 09:00:00,BTC/USDT,21740,21878,21740,21847,0.46452431,10148.46260057
1676361600,2023-02-14 08:00:00,BTC/USDT,21733,21733,21713,21713,0.19362989,4204.28580157
1676358000,2023-02-14 07:00:00,BTC/USDT,21769,21769,21769,21769,0.00000000,0.0
1676354400,2023-02-14 06:00:00,BTC/USDT,21729,21769,21728,21769,0.18352747,3995.20949443
1676350800,2023-02-14 05:00:00,BTC/USDT,21744,21744,21719,21719,1.37862183,29942.28752577
1676347200,2023-02-14 04:00:00,BTC/USDT,21708,21743,21708,21730,1.08342409,23542.805475700003
1676343600,2023-02-14 03:00:00,BTC/USDT,21723,21746,21705,21706,0.16511764,3584.0434938400003
1676340000,2023-02-14 02:00:00,BTC/USDT,21740,21742,21720,21729,1.27209118,27641.26925022
1676336400,2023-02-14 01:00:00,BTC/USDT,21740,21743,21694,21694,0.20477617,4442.41423198
1676332800,2023-02-14 00:00:00,BTC/USDT,21764,21805,21745,21750,0.05602176,1218.47328
1676329200,2023-02-13 23:00:00,BTC/USDT,21707,21819,21707,21803,1.46034082,31839.81089846
1676325600,2023-02-13 22:00:00,BTC/USDT,21608,21608,21608,21608,0.00000000,0.0
1676322000,2023-02-13 21:00:00,BTC/USDT,21642,21642,21589,21608,0.77093227,16658.30449016
1676318400,2023-02-13 20:00:00,BTC/USDT,21667,21667,21655,21657,0.41496228,8986.83809796
